Names,inchikey,fingerprints
N-palmitoylglycine,KVTFEOAKFFQCCX-UHFFFAOYSA-N,11110000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000000000000000000000000000001011000000000100100000000000000000001000110001000100010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
metoprolol acid metabolite*,PUQIRTNPJRFRCZ-UHFFFAOYSA-N,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000111100111000011001100000000110001100100000111010000010110000000000011000000000100010000000001000100000110100100000100000000000000000100000100000000000001000000010000000000000000010001000100010000001000011100000100010001000000011110011011000110010100001000011010100011010100001100111100000100000101001101101000000010001100110111010100000000111100010001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cadaverine,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,11000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),PZNPLUBHRSSFHT-RRHRGVEJSA-N,11110000011111100011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000100000000000000000100000010100111000011000000000000110000000100000100000000011000000000000010100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000110000000000010010000000000000000000000000000000100000000000000000000001010000000000000000000100100000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3-formylindole,OLNJUISKUQQNIM-UHFFFAOYSA-N,10000000011100100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000000000000000000000000000110000001000111000011001111000000110001111001100000011110010110010011001000000000000101010000000001100111100011101111100010000000000100000101000000000100000001101010000001000100000000010001101100110100001001110000110010011011000000010000010000011111010110000001001010110010001100001000010000110001000011000001001000000000000110010001100100111000111000111001000100011000000100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
(15:3)-anacardic acid,QUVGEKPNSCFQIR-AOSYACOCSA-N,11100000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100001010100010010100000000111000101000000001001011110000000010001000010001001100100000111100010001100100011110000100011101000000000000000000000010000000000000000000110000000000000000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000
5-(galactosylhydroxy)-L-lysine,OWGKYELXGFKIHH-ODPZDSJBSA-N,11100000011100110011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111100011000000000000111000000000000100000000000010000000000011000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000100110001000000010010000000001000000000000000001000110100000000000000000001010001000000000000000001110000000000000001111110000110110000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101100110000011001100000000100001100000000111010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100010000001100001100000100010001000000010100010011000110010100000101001000100010011100000000111000000000000001001001101000000010001000010001001100000000111100110001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21-hydroxypregnanolone monosulfate (1),YNTXPDSHGMGJJG-WPWXJNKXSA-N,11110000011110000011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000000000000000000000000000001010000000100010000000001010100000010100100000000000110010000000000000000000000000001000000000000000000000000000000000100000000001010000000000000000001000000000000001000000010010000000000000000100000000000000000100000000000000000001001100000000000000000010000000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000
2'-deoxyuridine,MXHRCPNRJAMMIM-SHYZEUOFSA-N,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011110000000000011000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000000000000000010000000000001000000100000010001000000000010000000001000000000000000000011100100000000000000000011110001011100100010000000110000000011000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
palmitoyl sphingomyelin (d18:1/16:0),RWKUXQNLWDTSLO-GWQJGLRPSA-N,11110000011111110011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000100000000000000000100000111100111000011000000000000110000000100000000000000011110000000000001100010000100010000100000000100001010100100001000010000000000000000000000000000000001000000000000000000000000010000000100010000001000010000000000000001000000000100001010000010010000000001000000100000000000001000101000000000000000001011001011000000000100110000001000000000011000110001000100010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3-hydroxymyristate,ATRNZOYKSNPPBF-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000010110000000000000000000000000000000000100000000000000000001010010000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
dimethyl sulfone,HHVIBTZHLRERCL-UHFFFAOYSA-N,10000000010000000011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000001010000000000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
indole-3-carboxylate,KMAKOBLIOCQGJP-UHFFFAOYSA-N,10000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000000000100000000100000000000000000000000110000001000110000011001111000000100001111001100100011110010110010011001001000000000101010000000001100110100111101110100110000000000100000101000000000100000001101010000001000100000000010001101100110100001001110000110110011011000000010000010011011111010110000001001010110010001100001000111000110001000011001101101000000000001110010001101100111000111101111001100100011100000100011101000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
argininate*,BMFMQGXDDJALKQ-BYPYZUCNSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000010000000000000000000000001000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000010010000000001000000000000000000000000100000000000000000001000000000000000000000000010000000000000000101110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cetirizine,ZKLPARSLTMPFCP-UHFFFAOYSA-N,11100000011110110011000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000110000010000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000000010000000000000100000000000000000000000110000101010111000011001100000100110001100000000100010000011000000000000011000000000100010000000001000100000110100100000100000000010100000100000000000000000001000000000010100000000000010001000100000000000010010000000011010001000000010110110000000100010100000011001001100010101100101110010000000001000011000001000000000000000100110111000100000000111000100001000000011000000000011100000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,MQGBAQLIFKSMEM-ZHARMHCNSA-N,11110000011111000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,11000000011000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000000000000000111000011000000000000110000000100000000000000011000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
methylsuccinate,WXUAQHNMJWJLTG-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000010000110000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
dehydrocholic acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100000100100000001000000000000000000000100000100000000000000000000000001000000000000010000000000010000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100101011110000101011111000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000
2-oleoylglycerol (18:1),UPWGQKDVAURUGE-KTKRTIGZSA-N,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
palmitoleoyl ethanolamide*,WFRLANWAASSSFV-FPLPWBNLSA-N,11110000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000111000011000000000000110000000100000000000000010110000000000001000000000100010000000000000100001010100100001000000000000000000000000000000000000001000000000000000000000000010000000100010000001000010000000000000001000000000100001000000010010000000001000000100000000000001000000000000000000000000001001011000000000100110000000000000000011000110001000100010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
ranitidine,VMXUWOKSQNHOCA-UKTHLTGXSA-N,11100000011100111011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000100000101000000000000000000000000000000100000000100110001011101000000000100101100110000010010000011110100000100010001001000100010010000000010100000010101100100001100000000100000100000100000000000001001000010001000010000000010001000100010000001100011100000110011001000100011100010011000110010101001001011010100111011100001110001100100101000111011001101000000010011001110001010100110000111100110000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
diaminopimelate,GMKMEZVLHJARHF-WHFBIAKZSA-N,11000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110001100100000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
I-urobilinogen,OBHRVMZSZIDDEK-UHFFFAOYSA-N,11110000011111111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010110001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001111000000100000000101000100010010010110010011001001000000000101010000000001100000101111100000101110000000000100000101000000000100000001000010000000000100000000000001001100110100001001110000100010011011000000010000010000001110010110000001101000010010001100001000110000000001000011001001001011000000000110010001100100100000111100110001101100111110011100111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3-methyladipate,SYEOWUNSTUDKGM-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
phosphocholine,YHHSONZFOIEMCP-UHFFFAOYSA-O,11000000011000100011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000100000000000000000000000000000111000011000000000000110000000100000000000000011000000000000000100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
tyrosol,YCCILVSKPBXVIP-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100101000001001100000000010001100000000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000011011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000010100000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
phenylpyruvate,BTNMPGBKDVTSJY-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000100010000000000000000000001000000000100010000000001010100000110100100000100000000010000000100000000000000000001000000000000000000000000010001000100000000001010000000000000010001000000010000010000000110010100000000001010100010000100000000110000000000000001001001000000000000000000010001000100000000111100010001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
N-acetyl-1-methylhistidine*,GVRCKHXHWSYDEF-QMMMGPOBSA-N,11000000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011001011000000100001011111001100000010111110011000001001000000000101010000000000100010101111101110111110000000000000000001000000000101101001100010001001010100000000000010101000010000001101110000111000000001000100000100110100000010010010000001101100100100001100101000100000000000000000011001001011000000010110100000100000000100000101111000001000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
ethylmalonate,UKFXDFUAPNAMPJ-UHFFFAOYSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110100000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010100000010000000000000000000000000000100000000000000000001010010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
alanylleucine,RDIKFPRVLJLMER-UHFFFAOYSA-N,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000010010000000001000000000100000000101000100000000000000000001000001011000000000100100000000000000000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
hydantoin-5-propionate,VWFWNXQAMGDPGG-UHFFFAOYSA-N,11000000011000110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000010000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000100000000100000000010010000000001000000000100000000101000100000000000000000011000001011100100010000000000000000000000000101111000001011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4-hydroxyglutamate,HBDWQSHEVMSFGY-SCQFTWEKSA-N,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000010000001110000000000000000000000000000110001000000010010000000001000000000000000000000000100000000000000000001100001000000000000000000010000000000000000111011100010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
caproate (6:0),FUZZWVXGSFPDMH-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5-methylnorleucine,FMUMEWVNYMUECA-LURJTMIESA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110000100100000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
N-acetylarginine,SNEIUMQYRCDYCH-LURJTMIESA-N,11100000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000110000100000000010110000000000001000000000001010000000000000000001100100000011110000000000000000000000000000000001000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
N-acetyltaurine,CXJAAWRLVGAKDV-UHFFFAOYSA-N,11000000011000100011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000000000000000110001011100000000000100100000100000000000000010110000000000000010000010000010000000000000000001000100000001000001110000010000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
octanoylcarnitine (C8),CXTATJFJDMJMIY-UHFFFAOYSA-N,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000100000010100111000011000000000000110000000100000100000000011000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000100000000000010110000000001000000000000000000001110000000000000000000001010010000000000000000100000000000000000001101011001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
dimethylglycine,FFDGPVCHZBVARC-UHFFFAOYSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000000000000000110000011000000000000100000000100000100000000011000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
guaiacol sulfate,AQTYXAPIHMXAAV-UHFFFAOYSA-N,11000000011000000011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000100000000100100000001001000000000010001100100000011010000000000000000000010010000000100000000000000000100000010000100000000000110000000000100000100000000000001000000010000000000000000010001000100000000000000001101000100010001000000011010010011000100010100001000011000100011010100000000011000000100010001001001100000000010001000010101010100000000111100000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
