,,features,weights,Detector Threshold,Detector Radius,Detect Selector,Rule Selector,Rule Log Odds,type
Rule 0,Detector 13,"['ASV 78 (Bacteroides galacturonicus)', 'ASV 222 (Clostridium sp CAG 167)', 'ASV 243 (Eubacterium eligens)', 'ASV 258 (Blautia hydrogenotrophica)', 'ASV 259 (Blautia obeum)', 'ASV 262 (Blautia sp CAG 257)', 'ASV 269 (Coprococcus catus)', 'ASV 278 (Fusicatenibacter saccharivorans)', 'ASV 301 (Roseburia faecis)', 'ASV 302 (Roseburia hominis)', 'ASV 303 (Roseburia intestinalis)', 'ASV 304 (Roseburia inulinivorans)']","[np.float32(0.996), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0)]",0.064,0.29,0.8528674244880676,0.9172027707099915,11.234,otus
Rule 3,Detector 10,"['ASV 78 (Bacteroides galacturonicus)', 'ASV 222 (Clostridium sp CAG 167)', 'ASV 230 (Lactonifactor longoviformis)', 'ASV 243 (Eubacterium eligens)', 'ASV 246 (Eubacterium ramulus)', 'ASV 250 (Eubacterium sp CAG 38)', 'ASV 256 (Blautia coccoides)', 'ASV 257 (Blautia hansenii)', 'ASV 258 (Blautia hydrogenotrophica)', 'ASV 259 (Blautia obeum)', 'ASV 260 (Blautia producta)', 'ASV 262 (Blautia sp CAG 257)', 'ASV 263 (Blautia sp N6H1 15)', 'ASV 264 (Blautia wexlerae)', 'ASV 265 (Ruminococcus gnavus)', 'ASV 266 (Ruminococcus torques)', 'ASV 269 (Coprococcus catus)', 'ASV 270 (Coprococcus comes)', 'ASV 272 (Dorea formicigenerans)', 'ASV 273 (Dorea longicatena)', 'ASV 274 (Dorea sp CAG 317)', 'ASV 278 (Fusicatenibacter saccharivorans)', 'ASV 288 (Clostridium scindens)', 'ASV 291 (Lachnoclostridium sp An131)', 'ASV 292 (Lachnoclostridium sp An138)', 'ASV 302 (Roseburia hominis)', 'ASV 303 (Roseburia intestinalis)', 'ASV 308 (Roseburia sp CAG 471)', 'ASV 309 (Sellimonas intestinalis)', 'ASV 311 (Tyzzerella nexilis)', 'ASV 345 (Ruminococcus lactaris)', 'ASV 370 (Firmicutes bacterium CAG 424)']","[np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.83), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.408), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0)]",0.139,0.29,0.5326160192489624,0.9232584238052368,12.859,otus
