,inchikey,hmdb,kegg,fingerprints
C01047_N-gamma-Ethylglutamine,DATAGRPVKZEWHA-YFKPBYRVSA-N,HMDB0034365,C01047,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000000000000001000100000000000000000001000001011000000000100000000000000000000000100111000001011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C03626_ADMA,YDGMGEXADBMOMJ-LURJTMIESA-N,HMDB0001539,C03626,11100000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000110000100000000011010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000010000000010000001100010000000000000000000100000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C01035_gamma-Guanidinobutyrate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,HMDB0003464,C01035,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000001000000000000000000000000100000000000000000001000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00213_Sarcosine,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,HMDB0000271,C00213,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00212_Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,HMDB0000050,C00212,11000000011100111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000000000100000000100000000000000000000000100000011100111000011001011100000110000001011111000010111111010011000001011000000000101000000000000100000110011000010110010000000000100000001000000000101101000100010001000010100000000000010101000000100000001010000101010000010000100000110101100000000010010000001100100001000000000111100100010000001000000011110000000000000010110100110000000000100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00042_Succinate,KDYFGRWQOYBRFD-UHFFFAOYSA-N,HMDB0000254,C00042,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C02713_N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,HMDB0060493,C02713,11100000011100100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111100011000000000000111000000100000100000000010110000000000011000000000000010000000000000000001100100000001100000000010000000000000000000000000000000000000000000000000000000000000000010000001010010000000000000000000000100110001000000000010000000001000000000000100000001110100000000000000000001110001011000000000100101110000000000000001111100000111000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00314_Pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,HMDB0000239,C00314,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000000000000000000100000000000000000000000110000001100111000011001111000000110001011101000011010010010000010000001001000000000101000000000001100010100011001110100010000000100100000101000000000100000001100010110000000100000000000001101100000100000001111010100110010011000000010100011011101100010110100101001000110010011100001000111000000001000011001111100000000010001110110001101100000000111111100000101000000000011000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00630_Isobutyryl CoA,AEWHYWSPVRZHCT-NDZSKPAWSA-N,HMDB0001243,C00630,11110000011110111011111000000011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001111000000100000100000000100000100000000000000000111100011100111001011101011100000110100001111111000010111111110011000001011100011000101010000100000100000111011100010111010010000010100000001000000000101101000100010001000010110000000000010101000010100001011010000101010000010000100000110101100000011010011000001100100001000000000111100100010000001000000011110001011000000010111100110000000000100000111100100011000000000010000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C00489_Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N,HMDB0000661,C00489,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100010000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
