,,features,weights,Detector Threshold,Detector Radius,Detect Selector,Rule Selector,Rule Log Odds,type
Rule 0,Detector 10,"['ASV 222 (Clostridium sp CAG 167)', 'ASV 226 (Clostridium sp CAG 58)', 'ASV 230 (Lactonifactor longoviformis)', 'ASV 246 (Eubacterium ramulus)', 'ASV 256 (Blautia coccoides)', 'ASV 257 (Blautia hansenii)', 'ASV 259 (Blautia obeum)', 'ASV 260 (Blautia producta)', 'ASV 262 (Blautia sp CAG 257)', 'ASV 263 (Blautia sp N6H1 15)', 'ASV 264 (Blautia wexlerae)', 'ASV 265 (Ruminococcus gnavus)', 'ASV 266 (Ruminococcus torques)', 'ASV 269 (Coprococcus catus)', 'ASV 270 (Coprococcus comes)', 'ASV 272 (Dorea formicigenerans)', 'ASV 273 (Dorea longicatena)', 'ASV 274 (Dorea sp CAG 317)', 'ASV 287 (Clostridium saccharolyticum)', 'ASV 288 (Clostridium scindens)', 'ASV 292 (Lachnoclostridium sp An138)', 'ASV 294 (Eubacterium rectale)', 'ASV 301 (Roseburia faecis)', 'ASV 302 (Roseburia hominis)', 'ASV 303 (Roseburia intestinalis)', 'ASV 304 (Roseburia inulinivorans)', 'ASV 309 (Sellimonas intestinalis)', 'ASV 311 (Tyzzerella nexilis)', 'ASV 345 (Ruminococcus lactaris)']","[np.float32(0.996), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0)]",0.14,0.262,0.7782641649246216,0.9129211902618408,5.171,otus
Rule 4,Detector 19,"['ASV 259 (Blautia obeum)', 'ASV 262 (Blautia sp CAG 257)', 'ASV 266 (Ruminococcus torques)', 'ASV 273 (Dorea longicatena)', 'ASV 278 (Fusicatenibacter saccharivorans)', 'ASV 308 (Roseburia sp CAG 471)']","[np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0)]",0.035,0.262,0.850726842880249,0.9142187833786011,6.905,otus
Rule 7,Detector 0,['HILIC-pos_Cluster_0728: 2-deoxyadenosine'],[np.float32(1.0)],0.455,0.396,0.42950424551963806,0.9018772840499878,6.121,metabs
