,,features,weights,Detector Threshold,Detector Radius,Detect Selector,Rule Selector,Rule Log Odds,type
Rule 2,Detector 13,"['ASV 259 (Blautia obeum)', 'ASV 264 (Blautia wexlerae)', 'ASV 266 (Ruminococcus torques)', 'ASV 273 (Dorea longicatena)', 'ASV 278 (Fusicatenibacter saccharivorans)']","[np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0)]",0.036,0.247,0.6381706595420837,0.8987181186676025,1.998,otus
Rule 6,Detector 12,"['ASV 169 (Lactobacillus rogosae)', 'ASV 226 (Clostridium sp CAG 58)', 'ASV 230 (Lactonifactor longoviformis)', 'ASV 243 (Eubacterium eligens)', 'ASV 246 (Eubacterium ramulus)', 'ASV 256 (Blautia coccoides)', 'ASV 258 (Blautia hydrogenotrophica)', 'ASV 259 (Blautia obeum)', 'ASV 260 (Blautia producta)', 'ASV 262 (Blautia sp CAG 257)', 'ASV 264 (Blautia wexlerae)', 'ASV 265 (Ruminococcus gnavus)', 'ASV 270 (Coprococcus comes)', 'ASV 272 (Dorea formicigenerans)', 'ASV 273 (Dorea longicatena)', 'ASV 274 (Dorea sp CAG 317)', 'ASV 278 (Fusicatenibacter saccharivorans)', 'ASV 287 (Clostridium saccharolyticum)', 'ASV 292 (Lachnoclostridium sp An138)', 'ASV 294 (Eubacterium rectale)', 'ASV 297 (Lachnospira pectinoschiza)', 'ASV 301 (Roseburia faecis)', 'ASV 302 (Roseburia hominis)', 'ASV 303 (Roseburia intestinalis)', 'ASV 304 (Roseburia inulinivorans)', 'ASV 308 (Roseburia sp CAG 471)', 'ASV 309 (Sellimonas intestinalis)', 'ASV 311 (Tyzzerella nexilis)', 'ASV 345 (Ruminococcus lactaris)', 'ASV 371 (Firmicutes bacterium CAG 646)']","[np.float32(1.0), np.float32(1.0), np.float32(0.217), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.999), np.float32(1.0), np.float32(1.0), np.float32(0.999), np.float32(1.0)]",0.161,0.247,0.6004595756530762,0.8720899820327759,2.252,otus
